0.4532	0.7352	0.4283	0.7681	0.0497	0.9271	0
0.5339	0.6809	0.5345	0.6798	0.0580	0.8302	0
0.5559	0.6764	0.5603	0.6786	0.0815	0.9471	0
0.5224	0.7167	0.5283	0.7165	0.0000	0.9238	0
0.4471	0.7371	0.4371	0.7478	0.0188	0.9594	0
0.6067	0.6793	0.6075	0.6791	0.0871	0.9322	0
0.6545	0.6811	0.6545	0.6810	0.1435	0.9607	0
0.4685	0.7047	0.4742	0.7080	0.0363	0.9030	0
0.4192	0.7260	0.3956	0.7491	0.0221	0.8153	0
0.4889	0.7315	0.4804	0.7466	0.0256	0.9555	0
0.4974	0.7816	0.4550	0.8337	0.1332	0.6340	0
0.4889	0.7315	0.4804	0.7466	0.0256	0.9555	0
0.4858	0.7431	0.4758	0.7667	0.1444	0.8651	0
0.5383	0.7467	0.5341	0.7469	0.0194	0.7735	0
0.5371	0.7020	0.4907	0.7536	0.0765	0.8988	0
0.4920	0.7557	0.5012	0.7515	0.0000	0.9009	0
0.5772	0.6605	0.5772	0.6604	0.1590	0.8649	0
0.5288	0.7534	0.5095	0.7693	0.0760	0.8827	0
0.5497	0.6846	0.5497	0.6846	0.0587	0.8565	0
0.5800	0.6370	0.5800	0.6370	0.1621	0.8393	0
0.4795	0.6098	0.4929	0.6151	0.0000	0.7567	0
0.4811	0.7064	0.4817	0.7058	0.0000	0.8633	0
0.5571	0.6774	0.5571	0.6774	0.0302	0.9574	0
0.3860	0.7681	0.4060	0.7267	0.0537	0.8722	0
0.4370	0.6112	0.4133	0.6303	0.0173	0.4983	0
0.5135	0.6467	0.5130	0.6465	0.0254	0.7188	0
0.4635	0.7403	0.4693	0.7403	0.0277	0.9725	0
0.5363	0.6693	0.5346	0.6668	0.0888	0.8720	0
0.5188	0.7388	0.5103	0.7490	0.0591	0.9480	0
0.5936	0.6911	0.5936	0.6911	0.1594	0.7868	0
0.5557	0.7077	0.5252	0.7420	0.0515	0.9667	0
0.6159	0.6102	0.6160	0.6102	0.0846	0.8725	0
0.5197	0.7255	0.4886	0.7513	0.0863	0.8693	0
0.5584	0.6525	0.5546	0.6516	0.1644	0.8320	0
0.6005	0.6327	0.6008	0.6329	0.0417	0.8750	0
0.4188	0.7161	0.3907	0.7488	0.0769	0.8414	0
